Datetime,Hour,Weekday,WeekOfMonth,Is_Business_Hours,Active_Users,CPU_Usage (%),Memory_Usage (%),Has_Event,Event_Payroll,Event_Tax,Event_EoM,Event_Risk_Score,Event_Day_Proximity_Hours,Saturation_Max,Active_Users_Lag1,CPU_Usage (%)_Lag1,Memory_Usage (%)_Lag1,Active_Users_Trend1,CPU_Usage (%)_Trend1,Memory_Usage (%)_Trend1,Active_Users_MA3,CPU_Usage (%)_MA3,Memory_Usage (%)_MA3,Scaling_Action,Scaling_Next_1h
13-06-2025 00:00,0,4,2,0,89,38.66,23.41,0,0,0,0,0,58,38.66,66,18.88,22.39,23,19.78,1.02,75,28.74,25.80333333,0,0
13-06-2025 01:00,1,4,2,0,79,38.39,22.01,0,0,0,0,0,57,38.39,89,38.66,23.41,-10,-0.27,-1.4,78,31.97666667,22.60333333,0,0
13-06-2025 02:00,2,4,2,0,61,20.8,19.82,0,0,0,0,0,56,20.8,79,38.39,22.01,-18,-17.59,-2.19,76.33333333,32.61666667,21.74666667,0,0
13-06-2025 03:00,3,4,2,0,83,40.8,37.72,0,0,0,0,0,55,40.8,61,20.8,19.82,22,20,17.9,74.33333333,33.33,26.51666667,0,0
13-06-2025 04:00,4,4,2,0,82,9.37,26,0,0,0,0,0,54,26,83,40.8,37.72,-1,-31.43,-11.72,75.33333333,23.65666667,27.84666667,0,0
13-06-2025 05:00,5,4,2,0,82,16.88,20.9,0,0,0,0,0,53,20.9,82,9.37,26,0,7.51,-5.1,82.33333333,22.35,28.20666667,0,0
13-06-2025 06:00,6,4,2,0,89,34.26,49.18,0,0,0,0,0,52,49.18,82,16.88,20.9,7,17.38,28.28,84.33333333,20.17,32.02666667,0,0
13-06-2025 07:00,7,4,2,0,73,40.45,28.25,0,0,0,0,0,51,40.45,89,34.26,49.18,-16,6.19,-20.93,81.33333333,30.53,32.77666667,0,0
13-06-2025 08:00,8,4,2,0,67,28.43,21.68,0,0,0,0,0,50,28.43,73,40.45,28.25,-6,-12.02,-6.57,76.33333333,34.38,33.03666667,0,0
13-06-2025 09:00,9,4,2,1,66,26.68,22.82,0,0,0,0,0,49,26.68,67,28.43,21.68,-1,-1.75,1.14,68.66666667,31.85333333,24.25,0,0
13-06-2025 10:00,10,4,2,1,67,32.04,24.32,0,0,0,0,0,48,32.04,66,26.68,22.82,1,5.36,1.5,66.66666667,29.05,22.94,0,0
13-06-2025 11:00,11,4,2,1,99,42.65,37.06,0,0,0,0,0,49,42.65,67,32.04,24.32,32,10.61,12.74,77.33333333,33.79,28.06666667,0,0
13-06-2025 12:00,12,4,2,1,73,12.86,21.03,0,0,0,0,0,48,21.03,99,42.65,37.06,-26,-29.79,-16.03,79.66666667,29.18333333,27.47,0,0
13-06-2025 13:00,13,4,2,1,84,18.49,29.72,0,0,0,0,0,49,29.72,73,12.86,21.03,11,5.63,8.69,85.33333333,24.66666667,29.27,0,0
13-06-2025 14:00,14,4,2,1,59,34.52,6.6,0,0,0,0,0,48,34.52,84,18.49,29.72,-25,16.03,-23.12,72,21.95666667,19.11666667,0,0
13-06-2025 15:00,15,4,2,1,67,37.15,17.5,0,0,0,0,0,49,37.15,59,34.52,6.6,8,2.63,10.9,70,30.05333333,17.94,0,0
13-06-2025 16:00,16,4,2,1,88,24.5,21.93,0,0,0,0,0,48,24.5,67,37.15,17.5,21,-12.65,4.43,71.33333333,32.05666667,15.34333333,0,0
13-06-2025 17:00,17,4,2,1,84,34.69,23.21,0,0,0,0,0,49,34.69,88,24.5,21.93,-4,10.19,1.28,79.66666667,32.11333333,20.88,0,0
