Hour,Active_Users,CPU_Usage (%),Memory_Usage (%),Datetime,Weekday,DayOfMonth,WeekOfMonth,Is_Business_Hours,Has_Event,Event_Payroll,Event_Tax,Event_EoM,Event_Risk_Score,Event_Day_Proximity_Hours,Active_Users_Lag1,Active_Users_Trend1,Active_Users_MA3,Active_Users_MA6,Active_Users_PctChange1,CPU_Usage (%)_Lag1,CPU_Usage (%)_Trend1,CPU_Usage (%)_MA3,CPU_Usage (%)_MA6,CPU_Usage (%)_PctChange1,Memory_Usage (%)_Lag1,Memory_Usage (%)_Trend1,Memory_Usage (%)_MA3,Memory_Usage (%)_MA6,Memory_Usage (%)_PctChange1,Saturation_Max,Saturation_HMean,Queue_Pressure,Scaling_Action,Scaling_Next_1h
5,76,16.96,16.88,2025-06-01 05:00:00,6,1,1,0,0,0,0,0,0.0,101,59.0,17.0,71.66666666666667,74.83333333333333,0.2881355932203389,16.11,0.8500000000000014,20.02666666666667,27.683333333333334,0.05276225946617008,26.71,-9.830000000000002,25.22666666666667,26.19666666666667,-0.3680269561961813,16.96,16.919904996456708,0,0,0
6,85,21.98,23.45,2025-06-01 06:00:00,6,1,1,0,0,0,0,0,0.0,100,76.0,9.0,73.33333333333333,76.66666666666667,0.11842105263157898,16.96,5.02,18.35,26.868333333333336,0.29599056603773577,16.88,6.57,22.346666666666664,24.78,0.389218009478673,23.45,22.69121680186624,1,0,0
7,84,29.74,24.95,2025-06-01 07:00:00,6,1,1,0,0,0,0,0,0.0,99,85.0,-1.0,81.66666666666667,76.66666666666667,-0.0117647058823529,21.98,7.759999999999998,22.893333333333334,23.096666666666668,0.3530482256596905,23.45,1.5,21.76,22.706666666666667,0.06396588486140731,29.74,27.135234501092803,0,0,0
8,86,30.09,30.26,2025-06-01 08:00:00,6,1,1,0,0,0,0,0,0.0,98,84.0,2.0,85.0,78.33333333333333,0.023809523809523725,29.74,0.3500000000000014,27.27,23.648333333333337,0.01176866173503699,24.95,5.310000000000002,26.22,25.723333333333333,0.21282565130260522,30.26,30.174760096524274,0,0,0
9,81,39.46,31.64,2025-06-01 09:00:00,6,1,1,1,0,0,0,0,0.0,97,86.0,-5.0,83.66666666666667,78.5,-0.05813953488372092,30.09,9.370000000000001,33.09666666666667,25.723333333333333,0.3113991359255568,30.26,1.379999999999999,28.95,25.64833333333333,0.045604758757435526,39.46,35.11995452714552,0,0,0
10,79,29.19,24.54,2025-06-01 10:00:00,6,1,1,1,0,0,0,0,0.0,96,81.0,-2.0,82.0,81.83333333333333,-0.024691358024691357,39.46,-10.27,32.913333333333334,27.903333333333336,-0.2602635580334516,31.64,-7.100000000000001,28.813333333333333,25.286666666666665,-0.22439949431099881,29.19,26.66378513560794,0,0,0
11,79,40.54,33.15,2025-06-01 11:00:00,6,1,1,1,0,0,0,0,0.0,97,79.0,0.0,79.66666666666667,82.33333333333333,0.0,29.19,11.349999999999998,36.39666666666667,31.833333333333332,0.38883179170948945,24.54,8.61,29.776666666666667,27.998333333333335,0.3508557457212713,40.54,36.47444653990438,0,0,0
12,73,38.23,8.86,2025-06-01 12:00:00,6,1,1,1,0,0,0,0,0.0,96,79.0,-6.0,77.0,80.33333333333333,-0.07594936708860756,40.54,-2.3100000000000023,35.98666666666667,34.541666666666664,-0.05698075974346328,33.15,-24.29,22.183333333333334,25.566666666666666,-0.7327300150829563,38.23,14.385975528010713,0,0,0
13,81,23.02,22.45,2025-06-01 13:00:00,6,1,1,1,0,0,0,0,0.0,97,73.0,8.0,77.66666666666667,79.83333333333333,0.1095890410958904,38.23,-15.209999999999997,33.93,33.42166666666667,-0.39785508762751765,8.86,13.59,21.486666666666665,25.149999999999995,1.0,23.02,22.731426858776626,0,0,0
14,79,35.54,30.15,2025-06-01 14:00:00,6,1,1,1,0,0,0,0,0.0,96,81.0,-2.0,77.66666666666667,78.66666666666667,-0.024691358024691357,23.02,12.52,32.263333333333335,34.330000000000005,0.5438748913987836,22.45,7.699999999999999,20.486666666666665,25.131666666666664,0.34298440979955447,35.54,32.62386922478507,0,0,0
