Datetime,Hour,Weekday,WeekOfMonth,Is_Business_Hours,Active_Users,CPU_Usage (%),Memory_Usage (%),Has_Event,Event_Payroll,Event_Tax,Event_EoM,Event_Risk_Score,Event_Day_Proximity_Hours,Saturation_Max,Active_Users_Lag1,CPU_Usage (%)_Lag1,Memory_Usage (%)_Lag1,Active_Users_Trend1,CPU_Usage (%)_Trend1,Memory_Usage (%)_Trend1,Active_Users_MA3,CPU_Usage (%)_MA3,Memory_Usage (%)_MA3,Scaling_Action,Scaling_Next_1h
2025-06-01 05:00:00,5,6,1,0,76,16.96,16.88,0,0,0,0,0.0,101,16.96,59.0,16.11,26.71,17.0,0.8500000000000014,-9.830000000000002,71.66666666666667,20.02666666666667,25.22666666666667,0,0
2025-06-01 06:00:00,6,6,1,0,85,21.98,23.45,0,0,0,0,0.0,100,23.45,76.0,16.96,16.88,9.0,5.02,6.57,73.33333333333333,18.35,22.346666666666664,0,0
2025-06-01 07:00:00,7,6,1,0,84,29.74,24.95,0,0,0,0,0.0,99,29.74,85.0,21.98,23.45,-1.0,7.759999999999998,1.5,81.66666666666667,22.893333333333334,21.76,0,0
2025-06-01 08:00:00,8,6,1,0,86,30.09,30.26,0,0,0,0,0.0,98,30.26,84.0,29.74,24.95,2.0,0.3500000000000014,5.310000000000002,85.0,27.27,26.22,0,0
2025-06-01 09:00:00,9,6,1,1,81,39.46,31.64,0,0,0,0,0.0,97,39.46,86.0,30.09,30.26,-5.0,9.370000000000001,1.379999999999999,83.66666666666667,33.09666666666667,28.95,0,0
2025-06-01 10:00:00,10,6,1,1,79,29.19,24.54,0,0,0,0,0.0,96,29.19,81.0,39.46,31.64,-2.0,-10.27,-7.100000000000001,82.0,32.913333333333334,28.813333333333333,0,0
2025-06-01 11:00:00,11,6,1,1,79,40.54,33.15,0,0,0,0,0.0,97,40.54,79.0,29.19,24.54,0.0,11.349999999999998,8.61,79.66666666666667,36.39666666666667,29.776666666666667,0,0
2025-06-01 12:00:00,12,6,1,1,73,38.23,8.86,0,0,0,0,0.0,96,38.23,79.0,40.54,33.15,-6.0,-2.3100000000000023,-24.29,77.0,35.98666666666667,22.183333333333334,0,0
2025-06-01 13:00:00,13,6,1,1,81,23.02,22.45,0,0,0,0,0.0,97,23.02,73.0,38.23,8.86,8.0,-15.209999999999997,13.59,77.66666666666667,33.93,21.486666666666665,0,0
2025-06-01 14:00:00,14,6,1,1,79,35.54,30.15,0,0,0,0,0.0,96,35.54,81.0,23.02,22.45,-2.0,12.52,7.699999999999999,77.66666666666667,32.263333333333335,20.486666666666665,0,0
2025-06-01 15:00:00,15,6,1,1,74,14.19,25.36,0,0,0,0,0.0,97,25.36,79.0,35.54,30.15,-5.0,-21.35,-4.789999999999999,78.0,24.250000000000004,25.986666666666665,0,0
2025-06-01 16:00:00,16,6,1,1,85,38.01,33.0,0,0,0,0,0.0,96,38.01,74.0,14.19,25.36,11.0,23.82,7.640000000000001,79.33333333333333,29.24666666666667,29.50333333333333,0,0
2025-06-01 17:00:00,17,6,1,1,70,9.46,18.86,0,0,0,0,0.0,97,18.86,85.0,38.01,33.0,-15.0,-28.549999999999997,-14.14,76.33333333333333,20.553333333333335,25.74,0,0
2025-06-01 18:00:00,18,6,1,1,81,43.82,12.59,0,0,0,0,0.0,96,43.82,70.0,9.46,18.86,11.0,34.36,-6.27,78.66666666666667,30.430000000000003,21.483333333333334,0,0
2025-06-01 19:00:00,19,6,1,1,81,30.16,27.99,0,0,0,0,0.0,96,30.16,81.0,43.82,12.59,0.0,-13.66,15.399999999999999,77.33333333333333,27.813333333333336,19.813333333333333,0,0
2025-06-01 20:00:00,20,6,1,0,87,27.85,37.36,0,0,0,0,0.0,97,37.36,81.0,30.16,27.99,6.0,-2.3099999999999987,9.370000000000001,83.0,33.943333333333335,25.98,0,0
2025-06-01 21:00:00,21,6,1,0,87,37.79,35.98,0,0,0,0,0.0,98,37.79,87.0,27.85,37.36,0.0,9.939999999999998,-1.3800000000000026,85.0,31.933333333333337,33.776666666666664,0,0
2025-06-01 22:00:00,22,6,1,0,72,37.64,23.12,0,0,0,0,0.0,99,37.64,87.0,37.79,35.98,-15.0,-0.14999999999999858,-12.859999999999996,82.0,34.42666666666667,32.15333333333333,0,0
2025-06-01 23:00:00,23,6,1,0,77,31.77,20.48,0,0,0,0,0.0,100,31.77,72.0,37.64,23.12,5.0,-5.870000000000001,-2.6400000000000006,78.66666666666667,35.733333333333334,26.526666666666667,0,0
2025-06-02 00:00:00,0,0,1,0,73,48.35,22.2,0,0,0,0,0.0,82,48.35,77.0,31.77,20.48,-4.0,16.580000000000002,1.7199999999999989,74.0,39.25333333333334,21.933333333333334,0,0
2025-06-02 01:00:00,1,0,1,0,80,29.35,32.89,0,0,0,0,0.0,81,32.89,73.0,48.35,22.2,7.0,-19.0,10.690000000000001,76.66666666666667,36.49000000000001,25.189999999999998,0,0
2025-06-02 02:00:00,2,0,1,0,93,41.04,33.66,0,0,0,0,0.0,80,41.04,80.0,29.35,32.89,13.0,11.689999999999998,0.769999999999996,82.0,39.580000000000005,29.583333333333332,0,0
2025-06-02 03:00:00,3,0,1,0,84,36.7,29.62,0,0,0,0,0.0,79,36.7,93.0,41.04,33.66,-9.0,-4.339999999999996,-4.039999999999996,85.66666666666667,35.69666666666667,32.056666666666665,0,0
2025-06-02 04:00:00,4,0,1,0,96,24.21,28.95,0,0,0,0,0.0,78,28.95,84.0,36.7,29.62,12.0,-12.490000000000002,-0.6700000000000017,91.0,33.98333333333334,30.74333333333333,0,0
2025-06-02 05:00:00,5,0,1,0,88,35.79,34.41,0,0,0,0,0.0,77,35.79,96.0,24.21,28.95,-8.0,11.579999999999998,5.459999999999997,89.33333333333333,32.23333333333334,30.99333333333333,0,0
2025-06-02 06:00:00,6,0,1,0,79,47.18,30.6,0,0,0,0,0.0,76,47.18,88.0,35.79,34.41,-9.0,11.39,-3.809999999999995,87.66666666666667,35.72666666666667,31.319999999999993,0,0
2025-06-02 07:00:00,7,0,1,0,94,23.64,27.95,0,0,0,0,0.0,75,27.95,79.0,47.18,30.6,15.0,-23.54,-2.650000000000002,87.0,35.53666666666667,30.986666666666665,0,0
2025-06-02 08:00:00,8,0,1,0,78,14.5,20.06,0,0,0,0,0.0,74,20.06,94.0,23.64,27.95,-16.0,-9.14,-7.890000000000001,83.66666666666667,28.44000000000001,26.20333333333333,0,0
2025-06-02 09:00:00,9,0,1,1,89,35.39,36.46,0,0,0,0,0.0,73,36.46,78.0,14.5,20.06,11.0,20.89,16.400000000000002,87.0,24.510000000000005,28.156666666666666,0,0
2025-06-02 10:00:00,10,0,1,1,74,32.09,22.53,0,0,0,0,0.0,72,32.09,89.0,35.39,36.46,-15.0,-3.299999999999997,-13.93,80.33333333333333,27.32666666666667,26.349999999999994,0,0
2025-06-02 11:00:00,11,0,1,1,92,27.89,23.58,0,0,0,0,0.0,73,27.89,74.0,32.09,22.53,18.0,-4.200000000000003,1.0499999999999972,85.0,31.790000000000006,27.52333333333333,0,0
2025-06-02 12:00:00,12,0,1,1,70,26.18,17.92,0,0,0,0,0.0,72,26.18,92.0,27.89,23.58,-22.0,-1.7100000000000009,-5.659999999999997,78.66666666666667,28.72000000000001,21.343333333333334,0,0
2025-06-02 13:00:00,13,0,1,1,80,43.44,32.16,0,0,0,0,0.0,73,43.44,70.0,26.18,17.92,10.0,17.259999999999998,14.239999999999995,80.66666666666667,32.50333333333334,24.55333333333333,0,0
2025-06-02 14:00:00,14,0,1,1,58,18.23,18.92,0,0,0,0,0.0,72,18.92,80.0,43.44,32.16,-22.0,-25.209999999999997,-13.239999999999995,69.33333333333333,29.283333333333335,23.0,0,0
2025-06-02 15:00:00,15,0,1,1,101,50.53,50.61,0,0,0,0,0.0,73,50.61,58.0,18.23,18.92,43.0,32.3,31.689999999999998,79.66666666666667,37.400000000000006,33.89666666666667,0,0
2025-06-02 16:00:00,16,0,1,1,100,51.34,37.92,0,0,0,0,0.0,72,51.34,101.0,50.53,50.61,-1.0,0.8100000000000023,-12.689999999999998,86.33333333333333,40.03333333333334,35.81666666666666,0,0
2025-06-02 17:00:00,17,0,1,1,97,40.47,38.14,0,0,0,0,0.0,73,40.47,100.0,51.34,37.92,-3.0,-10.870000000000005,0.21999999999999886,99.33333333333333,47.446666666666665,42.22333333333333,0,0
2025-06-02 18:00:00,18,0,1,1,74,54.68,23.92,0,0,0,0,0.0,72,54.68,97.0,40.47,38.14,-23.0,14.21,-14.219999999999999,90.33333333333333,48.830000000000005,33.32666666666666,0,0
2025-06-02 19:00:00,19,0,1,1,71,17.01,25.45,0,0,0,0,0.0,72,25.45,74.0,54.68,23.92,-3.0,-37.67,1.5299999999999976,80.66666666666667,37.38666666666667,29.169999999999998,0,0
2025-06-02 20:00:00,20,0,1,0,84,42.81,25.5,0,0,0,0,0.0,73,42.81,71.0,17.01,25.45,13.0,25.8,0.05000000000000071,76.33333333333333,38.16666666666667,24.956666666666663,0,0
2025-06-02 21:00:00,21,0,1,0,78,24.86,22.99,0,0,0,0,0.0,74,24.86,84.0,42.81,25.5,-6.0,-17.950000000000003,-2.5100000000000016,77.66666666666667,28.22666666666667,24.646666666666665,0,0
2025-06-02 22:00:00,22,0,1,0,63,25.09,8.68,0,0,0,0,0.0,75,25.09,78.0,24.86,22.99,-15.0,0.23000000000000043,-14.309999999999999,75.0,30.92,19.05666666666666,0,0
2025-06-02 23:00:00,23,0,1,0,75,41.66,0.0,0,0,0,0,0.0,76,41.66,63.0,25.09,8.68,12.0,16.569999999999997,-8.68,72.0,30.536666666666665,10.556666666666663,0,0
2025-06-03 01:00:00,1,1,1,0,84,28.62,22.91,0,0,0,0,0.0,57,28.62,74.0,33.87,32.39,10.0,-5.2499999999999964,-9.48,77.66666666666667,34.71666666666666,18.433333333333334,0,0
2025-06-03 02:00:00,2,1,1,0,88,46.45,48.1,0,0,0,0,0.0,56,48.1,84.0,28.62,22.91,4.0,17.830000000000002,25.19,82.0,36.31333333333333,34.46666666666666,0,0
2025-06-03 03:00:00,3,1,1,0,87,26.22,25.84,0,0,0,0,0.0,55,26.22,88.0,46.45,48.1,-1.0,-20.230000000000004,-22.26,86.33333333333333,33.76333333333333,32.28333333333333,0,0
2025-06-03 04:00:00,4,1,1,0,94,34.11,24.11,0,0,0,0,0.0,54,34.11,87.0,26.22,25.84,7.0,7.890000000000001,-1.7300000000000004,89.66666666666667,35.593333333333334,32.68333333333333,0,0
2025-06-03 05:00:00,5,1,1,0,80,44.81,41.99,0,0,0,0,0.0,53,44.81,94.0,34.11,24.11,-14.0,10.700000000000003,17.880000000000003,87.0,35.04666666666667,30.64666666666666,0,0
2025-06-03 06:00:00,6,1,1,0,75,19.72,23.21,0,0,0,0,0.0,52,23.21,80.0,44.81,41.99,-5.0,-25.090000000000003,-18.78,83.0,32.88,29.769999999999992,0,0
2025-06-03 07:00:00,7,1,1,0,80,33.54,36.66,0,0,0,0,0.0,51,36.66,75.0,19.72,23.21,5.0,13.82,13.449999999999996,78.33333333333333,32.69,33.953333333333326,0,0
2025-06-03 08:00:00,8,1,1,0,74,22.29,26.02,0,0,0,0,0.0,50,26.02,80.0,33.54,36.66,-6.0,-11.25,-10.639999999999997,76.33333333333333,25.183333333333334,28.629999999999995,0,0
2025-06-03 09:00:00,9,1,1,1,73,24.45,21.15,0,0,0,0,0.0,49,24.45,74.0,22.29,26.02,-1.0,2.16,-4.870000000000001,75.66666666666667,26.76,27.943333333333328,0,0
2025-06-03 10:00:00,10,1,1,1,68,24.36,25.58,0,0,0,0,0.0,48,25.58,73.0,24.45,21.15,-5.0,-0.08999999999999986,4.43,71.66666666666667,23.7,24.249999999999996,0,0
2025-06-03 11:00:00,11,1,1,1,97,39.99,47.61,0,0,0,0,0.0,49,47.61,68.0,24.36,25.58,29.0,15.630000000000003,22.03,79.33333333333333,29.600000000000005,31.446666666666662,0,0
2025-06-03 12:00:00,12,1,1,1,77,34.98,30.36,0,0,0,0,0.0,48,34.98,97.0,39.99,47.61,-20.0,-5.010000000000005,-17.25,80.66666666666667,33.11,34.51666666666666,0,0
